1,1,LA CEIBA
2,1,EL PORVENIR
3,1,ESPARTA
4,1,JUTIAPA
5,1,LA MASICA
6,1,SAN FRANCISCO
7,1,TELA
8,1,ARIZONA
1,2,TRUJILLO
2,2,BALFATE
3,2,IRIONA
4,2,LIMÓN
5,2,SABÁ
6,2,SANTA FE
7,2,SANTA ROSA DE AGUÁN
8,2,SONAGUERA
9,2,TOCOA
10,2,BONITO ORIENTAL
1,3,COMAYAGUA
2,3,AJUTERIQUE
3,3,EL ROSARIO
4,3,ESQUÍAS
5,3,HUMUYA
6,3,LA LIBERTAD
7,3,LAMANÍ
8,3,LA TRINIDAD
9,3,LEJAMANÍ
10,3,MEÁMBAR
11,3,MINAS DE ORO
12,3,OJOS DE AGUA
13,3,SAN JERÓNIMO
14,3,SAN JOSÉ DE COMAYAGUA
15,3,SAN JOSÉ DEL POTRERO
16,3,SAN LUIS
17,3,SAN SEBASTIÁN
18,3,SIGUATEPEQUE
19,3,VILLA DE SAN ANTONIO
20,3,LAS LAJAS
21,3,TAULABÉ
1,4,SANTA ROSA DE COPÁN
2,4,CABAÑAS
3,4,CONCEPCIÓN
4,4,COPÁN RUINAS
5,4,CORQUÍN
6,4,CUCUYAGUA
7,4,DOLORES
8,4,DULCE NOMBRE
9,4,EL PARAÍSO
10,4,FLORIDA
11,4,LA JIGUA
12,4,LA UNIÓN
13,4,NUEVA ARCADIA
14,4,SAN AGUSTÍN
15,4,SAN ANTONIO
16,4,SAN JERÓNIMO
17,4,SAN JOSÉ
18,4,SAN JUAN DE OPOA
19,4,SAN NICOLÁS
20,4,SAN PEDRO DE COPÁN
21,4,SANTA RITA
22,4,TRINIDAD DE COPÁN
23,4,VERACRUZ
1,5,SAN PEDRO SULA
2,5,CHOLOMA
3,5,OMOA
4,5,PIMIENTA
5,5,POTRERILLOS
6,5,PUERTO CORTÉS
7,5,SAN ANTONIO DE CORTÉS
8,5,SAN FRANCISCO DE YOJOA
9,5,SAN MANUEL
10,5,SANTA CRUZ DE YOJOA
11,5,VILLANUEVA
12,5,LA LIMA
1,6,CHOLUTECA
2,6,APACILAGUA
3,6,CONCEPCIÓN DE MARIA
4,6,DUYURE
5,6,EL CORPUS
6,6,EL TRIUNFO
7,6,MARCOVIA
8,6,MOROLICA
9,6,NAMASIGUE
10,6,OROCUINA
11,6,PESPIRE
12,6,SAN ANTONIO DE FLORES
13,6,SAN ISIDRO
14,6,SAN JOSÉ
15,6,SAN MARCOS DE COLON
16,6,SANTA ANA DE YUSGUARE
1,7,YUSCARÁN
2,7,ALAUCA
3,7,DANLÍ
4,7,EL PARAÍSO
5,7,GÜINOPE
6,7,JACALEAPA
7,7,LIURE
8,7,MOROCELÍ
9,7,OROPOLÍ
10,7,POTRERILLOS
11,7,SAN ANTONIO DE FLORES
12,7,SAN LUCAS
13,7,SAN MATÍAS
14,7,SOLEDAD
15,7,TEUPASENTI
16,7,TEXIGUAT
17,7,VADO ANCHO
18,7,YAUYUPE
19,7,TROJES
1,8,DISTRITO CENTRAL
2,8,ALUBAREN
3,8,CEDROS
4,8,CURARÉN
5,8,EL PORVENIR
6,8,GUAIMACA
7,8,LA LIBERTAD
8,8,LA VENTA
9,8,LEPATERIQUE
10,8,MARAITA
11,8,MARALE
12,8,NUEVA ARMENIA
13,8,OJOJONA
14,8,ORICA
15,8,REITOCA
16,8,SABANAGRANDE
17,8,SAN ANTONIO DE ORIENTE
18,8,SAN BUENAVENTURA
19,8,SAN IGNACIO
20,8,SAN JUAN DE FLORES
21,8,SAN MIGUELITO
22,8,SANTA ANA
23,8,SANTA LUCÍA
24,8,TALANGA
25,8,TATUMBLA
26,8,VALLE DE ANGELES
27,8,VILLA DE SAN FRANCISCO
28,8,VALLECILLO
1,9,PUERTO LEMPIRA
2,9,BRUS LAGUNA
3,9,AHUAS
4,9,JUAN FRANCISCO BULNES
5,9,VILLEDA MORALES
6,9,WAMPUSIRPI
1,10,LA ESPERANZA
2,10,CAMASCA
3,10,COLOMONCAGUA
4,10,CONCEPCIÓN
5,10,DOLORES
6,10,INTIBUCÁ
7,10,JESÚS DE OTORO
8,10,MAGDALENA
9,10,MASAGUARA
10,10,SAN ANTONIO
11,10,SAN ISIDRO
12,10,SAN JUAN
13,10,SAN MARCOS DE LA SIERRA
14,10,SAN MIGUELITO
15,10,SANTA LUCÍA
16,10,YAMARANGUILA
17,10,*SAN FRANCISCO DE OPALACA
1,11,ROATÁN
2,11,GUANAJA
3,11,JOSÉ SANTOS GUARDIOLA
4,11,UTILA
1,12,LA PAZ
2,12,AGUANQUETERIQUE
3,12,CABAÑAS
4,12,CANE
5,12,CHINACLA
6,12,GUAJIQUIRO
7,12,LAUTERIQUE
8,12,MARCALA
9,12,MERCEDES DE ORIENTE
10,12,OPATORO
11,12,SAN ANTONIO DEL NORTE
12,12,SAN JOSÉ
13,12,SAN JUAN
14,12,SAN PEDRO DE TUTULE
15,12,SANTA ANA
16,12,SANTA ELENA
17,12,SANTA MARÍA
18,12,SANTIAGO DE PURINGLA
19,12,YARULA
1,13,GRACIAS
2,13,BELÉN
3,13,CANDELARIA
4,13,COLOLACA
5,13,ERANDIQUE
6,13,GUALCINCE
7,13,GUARITA
8,13,LA CAMPA
9,13,LA IGUALA
10,13,LAS FLORES
11,13,LA UNIÓN
12,13,LA VIRTUD
13,13,LEPAERA
14,13,MAPULACA
15,13,PIRAERA
16,13,SAN ANDRÉS
17,13,SAN FRANCISCO
18,13,SAN JUAN GUARITA
19,13,SAN MANUEL COLOHETE
20,13,SAN RAFAEL
21,13,SAN SEBASTIÁN
22,13,SANTA CRUZ
23,13,TALGUA
24,13,TAMBLA
25,13,TOMALÁ
26,13,VALLADOLID
27,13,VIRGINIA
28,13,*SAN MARCOS DE CAIQUIN
1,14,OCOTEPEQUE
2,14,BELÉN GUALCHO
3,14,CONCEPCIÓN
4,14,DOLORES MERENDÓN
5,14,FRATERNIDAD
6,14,LA ENCARNACIÓN
7,14,LA LABOR
8,14,LUCERNA
9,14,MERCEDES
10,14,SAN FERNANDO
11,14,SAN FRANCISCO DEL VALLE
12,14,SAN JORGE
13,14,SAN MARCOS
14,14,SANTA FE
15,14,SENSENTI
16,14,SINUAPA
1,15,JUTICALPA
2,15,CAMPAMENTO
3,15,CATACAMAS
4,15,CONCORDIA
5,15,DULCE NOMBRE DE CULMÍ
6,15,EL ROSARIO
7,15,ESQUIPULAS DEL NORTE
8,15,GUALACO
9,15,GUARIZAMA
10,15,GUATA
11,15,GUAYAPE
12,15,JANO
13,15,LA UNIÓN
14,15,MANGULILE
15,15,MANTO
16,15,SALAMÁ
17,15,SAN ESTEBAN
18,15,SAN FRANCISCO DE BECERRA
19,15,SAN FRANCISCO DE LA PAZ
20,15,SANTA MARÍA DEL REAL
21,15,SILCA
22,15,YOCÓN
23,15,*PATUCA
1,16,SANTA BÁRBARA
2,16,ARADA
3,16,ATIMA
4,16,AZACUALPA
5,16,CEGUACA
6,16,CONCEPCIÓN DEL NORTE
7,16,CONCEPCIÓN DEL SUR
8,16,CHINDA
9,16,EL NÍSPERO
10,16,GUALALA
11,16,ILAMA
12,16,MACUELIZO
13,16,NARANJITO
14,16,NUEVO CELILAC
15,16,PETOA
16,16,PROTECCIÓN
17,16,QUIMISTÁN
18,16,SAN FRANCISCO DE OJUERA
19,16,SAN JOSÉ DE COLINAS
20,16,SAN LUIS
21,16,SAN MARCOS
22,16,SAN NICOLÁS
23,16,SAN PEDRO ZACAPA
24,16,SAN VICENTE CENTENARIO
25,16,SANTA RITA
26,16,TRINIDAD
27,16,LAS VEGAS
28,16,*NUEVA FRONTERA
